Source	Target	Strength
Lachnospiraceae	Bacteroidaceae	-0.000325636639074104
Lachnospiraceae	Verrucomicrobiaceae	0.0032108346707361
Lachnospiraceae	Ruminococcaceae	-0.00128803312249339
Lachnospiraceae	Unclassified	-0.000297233270984858
Lachnospiraceae	Oxalobacteraceae	0.000682348518145621
Lachnospiraceae	Eubacteriaceae	-0.00118702521988226
Lachnospiraceae	Enterobacteriaceae	0.00642956900292947
Lachnospiraceae	Nitrosomonadaceae	-0.00425727377612866
Lachnospiraceae	Lactobacillaceae	0.000271584607036926
Lachnospiraceae	Corynebacteriaceae	-0.00151513294234692
Lachnospiraceae	Staphylococcaceae	-2.55398290458308e-06
Lachnospiraceae	Erysipelotrichaceae	0.000232173983511808
Lachnospiraceae	Prevotellaceae	0.00181603615159383
Bacteroidaceae	Lachnospiraceae	-9.17694667523388e-05
Bacteroidaceae	Verrucomicrobiaceae	0.00347167020345415
Bacteroidaceae	Ruminococcaceae	-0.00130427687836358
Bacteroidaceae	Unclassified	-0.000200241218673409
Bacteroidaceae	Oxalobacteraceae	0.00046379828091885
Bacteroidaceae	Eubacteriaceae	-0.00125623087906416
Bacteroidaceae	Enterobacteriaceae	0.00656048307727082
Bacteroidaceae	Nitrosomonadaceae	-0.00417042166707839
Bacteroidaceae	Lactobacillaceae	0.000152695736006397
Bacteroidaceae	Corynebacteriaceae	-0.00146546790612905
Bacteroidaceae	Staphylococcaceae	2.25069028912173e-05
Bacteroidaceae	Erysipelotrichaceae	0.000244222879564321
Bacteroidaceae	Prevotellaceae	0.00174807810977344
Verrucomicrobiaceae	Lachnospiraceae	-4.94128928850454e-05
Verrucomicrobiaceae	Bacteroidaceae	-0.000268024973650599
Verrucomicrobiaceae	Ruminococcaceae	-0.00107950901873201
Verrucomicrobiaceae	Unclassified	-0.000229823356641768
Verrucomicrobiaceae	Oxalobacteraceae	0.000345280546324318
Verrucomicrobiaceae	Eubacteriaceae	-0.00117400167148207
Verrucomicrobiaceae	Enterobacteriaceae	0.00649000914836486
Verrucomicrobiaceae	Nitrosomonadaceae	-0.00436988114920076
Verrucomicrobiaceae	Lactobacillaceae	0.000161988067128731
Verrucomicrobiaceae	Corynebacteriaceae	-0.00149867339859606
Verrucomicrobiaceae	Staphylococcaceae	2.85347364503025e-05
Verrucomicrobiaceae	Erysipelotrichaceae	0.000165219623340802
Verrucomicrobiaceae	Prevotellaceae	0.00182053198110759
Ruminococcaceae	Lachnospiraceae	0.000176498065266084
Ruminococcaceae	Bacteroidaceae	-0.0003607922602284
Ruminococcaceae	Verrucomicrobiaceae	0.00296622188237464
Ruminococcaceae	Unclassified	-3.79355879300686e-05
Ruminococcaceae	Oxalobacteraceae	0.00010981653768936
Ruminococcaceae	Eubacteriaceae	-0.00115946937233314
Ruminococcaceae	Enterobacteriaceae	0.00681858470695968
Ruminococcaceae	Nitrosomonadaceae	-0.00479244765885717
Ruminococcaceae	Lactobacillaceae	-0.000149864052443275
Ruminococcaceae	Corynebacteriaceae	-0.00157281982004902
Ruminococcaceae	Staphylococcaceae	6.11159551831816e-05
Ruminococcaceae	Erysipelotrichaceae	0.000358884936405617
Ruminococcaceae	Prevotellaceae	0.00170103586370018
Unclassified	Lachnospiraceae	5.4853985252122e-05
Unclassified	Bacteroidaceae	-0.000417071587930839
Unclassified	Verrucomicrobiaceae	0.00136431123334306
Unclassified	Ruminococcaceae	-0.00100959687354953
Unclassified	Oxalobacteraceae	0.00101826751219283
Unclassified	Eubacteriaceae	-0.00152468515245362
Unclassified	Enterobacteriaceae	0.00621762801951428
Unclassified	Nitrosomonadaceae	-0.00392732381899702
Unclassified	Lactobacillaceae	0.00052882155643764
Unclassified	Corynebacteriaceae	-0.00139228586741089
Unclassified	Staphylococcaceae	0.000128742182211231
Unclassified	Erysipelotrichaceae	0.000292605521096107
Unclassified	Prevotellaceae	0.00161240872244921
Oxalobacteraceae	Lachnospiraceae	4.88100159203544e-06
Oxalobacteraceae	Bacteroidaceae	-0.000299427318004806
Oxalobacteraceae	Verrucomicrobiaceae	0.00267423643325544
Oxalobacteraceae	Ruminococcaceae	-0.000848718617481396
Oxalobacteraceae	Unclassified	-0.000270082032092718
Oxalobacteraceae	Eubacteriaceae	-0.000930602748637777
Oxalobacteraceae	Enterobacteriaceae	0.00663770460096689
Oxalobacteraceae	Nitrosomonadaceae	-0.00351962244550543
Oxalobacteraceae	Lactobacillaceae	0.000120232016368107
Oxalobacteraceae	Corynebacteriaceae	-0.0015377430988248
Oxalobacteraceae	Staphylococcaceae	5.53960460957329e-05
Oxalobacteraceae	Erysipelotrichaceae	0.000133712634508685
Oxalobacteraceae	Prevotellaceae	0.001832125134469
Eubacteriaceae	Lachnospiraceae	0.00043245539971884
Eubacteriaceae	Bacteroidaceae	-0.000179584784862639
Eubacteriaceae	Verrucomicrobiaceae	-0.000561944533939136
Eubacteriaceae	Ruminococcaceae	-0.00134119763972296
Eubacteriaceae	Unclassified	-0.000798099575785491
Eubacteriaceae	Oxalobacteraceae	0.00104755635475863
Eubacteriaceae	Enterobacteriaceae	0.00866473374067025
Eubacteriaceae	Nitrosomonadaceae	-0.00251467726225858
