Source	Target	Strength
Staphylococcaceae	Corynebacteriaceae	0.9142
Staphylococcaceae	Verrucomicrobiaceae	0.4574
Staphylococcaceae	Oxalobacteraceae	-0.4420
Staphylococcaceae	Nitrosomonadaceae	0.3650
Staphylococcaceae	Enterobacteriaceae	-0.2566
Staphylococcaceae	Prevotellaceae	-0.2456
Staphylococcaceae	Ruminococcaceae	0.1901
Corynebacteriaceae	Verrucomicrobiaceae	-0.1787
Staphylococcaceae	Bacteroidaceae	-0.1773
Corynebacteriaceae	Oxalobacteraceae	0.1488
Corynebacteriaceae	Nitrosomonadaceae	-0.1369
Corynebacteriaceae	Prevotellaceae	0.1309
Staphylococcaceae	Lactobacillaceae	0.1277
Staphylococcaceae	Unclassified	0.1257
Corynebacteriaceae	Enterobacteriaceae	0.1169
Staphylococcaceae	Erysipelotrichaceae	0.0856
Corynebacteriaceae	Staphylococcaceae	0.0852
Lactobacillaceae	Verrucomicrobiaceae	0.0706
Lactobacillaceae	Prevotellaceae	-0.0618
Corynebacteriaceae	Unclassified	-0.0564
Corynebacteriaceae	Ruminococcaceae	-0.0488
Staphylococcaceae	Lachnospiraceae	0.0484
Corynebacteriaceae	Bacteroidaceae	0.0459
Lactobacillaceae	Nitrosomonadaceae	0.0387
Lactobacillaceae	Enterobacteriaceae	-0.0349
Lactobacillaceae	Oxalobacteraceae	-0.0322
Lactobacillaceae	Unclassified	0.0313
Corynebacteriaceae	Erysipelotrichaceae	-0.0300
Corynebacteriaceae	Lactobacillaceae	0.0244
Lactobacillaceae	Eubacteriaceae	-0.0188
